Date,Open,High,Low,Close,Volume
2022-01-03,2426.13,2429.89,2394.51,2420.93,4378148
2022-01-04,2476.98,2487.85,2443.13,2469.59,6044410
2022-01-05,2508.99,2542.61,2492.27,2521.03,7062118
2022-01-06,2548.68,2551.56,2540.3,2546.94,3238826
2022-01-07,2529.66,2538.61,2528.06,2532.36,4717354
2022-01-10,2490.12,2527.83,2484.47,2517.78,12139390
2022-01-11,2491.16,2517.06,2477.48,2485.39,3481809
2022-01-12,2496.61,2501.01,2478.12,2496.29,12623440
2022-01-13,2499.46,2532.68,2488.6,2499.23,11262369
2022-01-14,2451.56,2454.87,2451.33,2453.69,10284390
2022-01-17,2424.16,2458.59,2418.93,2435.26,4818182
2022-01-18,2455.25,2460.52,2423.23,2426.76,7367209
2022-01-19,2461.42,2469.09,2448.16,2453.44,11782389
2022-01-20,2401.85,2417.02,2396.71,2415.23,13394868
2022-01-21,2444.44,2460.73,2424.11,2439.15,8416797
2022-01-24,2438.41,2459.8,2414.52,2445.31,14547170
2022-01-25,2400.77,2408.17,2386.69,2399.04,5689290
2022-01-26,2356.95,2380.64,2349.75,2377.31,3037180
2022-01-27,2391.3,2392.45,2383.98,2388.04,12022584
2022-01-28,2305.4,2319.57,2299.05,2299.09,10546691
2022-01-31,2333.54,2342.54,2313.13,2330.59,8611544
2022-02-01,2338.92,2364.28,2338.5,2359.51,8370015
2022-02-02,2379.45,2397.83,2368.53,2370.37,5251347
2022-02-03,2402.59,2417.29,2394.62,2401.15,7792030
2022-02-04,2427.93,2429.31,2426.28,2427.23,5619893
2022-02-07,2465.45,2472.36,2464.9,2470.75,9702245
2022-02-08,2495.37,2502.74,2467.61,2483.1,6791860
2022-02-09,2542.75,2576.26,2533.41,2533.49,11745662
2022-02-10,2551.8,2564.05,2526.13,2537.12,10396526
2022-02-11,2530.87,2538.68,2499.03,2528.02,13891264
2022-02-14,2575.07,2578.65,2570.47,2577.35,4881986
2022-02-15,2562.13,2564.56,2555.17,2560.76,3989924
2022-02-16,2594.11,2609.27,2564.44,2592.0,4965629
2022-02-17,2573.45,2605.26,2555.9,2603.85,14217215
2022-02-18,2583.3,2585.53,2573.85,2580.87,4103248
2022-02-21,2576.03,2592.99,2568.94,2570.65,13023293
2022-02-22,2571.05,2577.61,2562.32,2571.59,11210125
2022-02-23,2565.48,2567.31,2560.15,2564.52,7263528
2022-02-24,2572.2,2594.11,2558.84,2559.92,11215869
2022-02-25,2564.66,2589.63,2553.81,2574.13,12418530
2022-02-28,2503.84,2508.57,2499.82,2501.33,11623353
2022-03-01,2525.87,2534.27,2488.14,2501.22,6583650
2022-03-02,2503.54,2505.43,2478.41,2495.71,5363319
2022-03-03,2517.29,2529.68,2502.44,2506.25,4818222
2022-03-04,2546.78,2552.89,2534.85,2544.23,14223756
2022-03-07,2594.18,2597.7,2561.28,2569.87,8410687
2022-03-08,2581.55,2609.87,2578.46,2590.24,11199423
2022-03-09,2665.61,2673.57,2663.21,2664.78,3563506
2022-03-10,2670.2,2670.78,2668.79,2669.03,10834767
2022-03-11,2671.07,2676.98,2643.45,2652.36,11904337
2022-03-14,2636.03,2640.11,2611.61,2616.53,8472646
2022-03-15,2624.31,2659.17,2599.57,2633.42,14300652
2022-03-16,2601.16,2618.05,2599.5,2607.4,11251043
2022-03-17,2597.42,2616.15,2582.84,2597.27,8045416
2022-03-18,2607.94,2633.43,2600.3,2605.72,13472413
2022-03-21,2662.84,2703.33,2646.21,2650.78,8273897
2022-03-22,2662.85,2668.94,2642.17,2660.54,14501800
2022-03-23,2676.77,2698.75,2674.97,2688.37,3354182
2022-03-24,2711.68,2720.61,2668.8,2697.94,8142798
2022-03-25,2712.91,2719.69,2707.85,2710.9,5640955
2022-03-28,2722.99,2729.88,2712.81,2722.04,14957543
2022-03-29,2682.92,2719.37,2679.33,2697.58,5498002
2022-03-30,2666.18,2691.38,2653.35,2656.61,13431140
